Violation_ID,Project_SLUG,SHA,Notes
66,apache/gora.git,bb09d8916736e3e572eef2cb5e79fe11c80ad1de,N/A
67,apache/gora.git,bb09d8916736e3e572eef2cb5e79fe11c80ad1de,N/A
68,apache/gora.git,bb09d8916736e3e572eef2cb5e79fe11c80ad1de,N/A
69,apache/gora.git,bb09d8916736e3e572eef2cb5e79fe11c80ad1de,N/A
70,apache/gora.git,bb09d8916736e3e572eef2cb5e79fe11c80ad1de,N/A
71,apache/gora.git,bb09d8916736e3e572eef2cb5e79fe11c80ad1de,N/A
72,apache/gora.git,bb09d8916736e3e572eef2cb5e79fe11c80ad1de,N/A
73,apache/gora.git,bb09d8916736e3e572eef2cb5e79fe11c80ad1de,N/A
74,srt/asterisk-java.git,b07617fe185d57dd38980993e1934d68e7e6c0c6,N/A
75,apache/commons-bcel.git,24014e5eabb321adf276f90599bddedb018e88aa,N/A
76,apache/commons-bcel.git,24014e5eabb321adf276f90599bddedb018e88aa,N/A
77,apache/commons-bcel.git,24014e5eabb321adf276f90599bddedb018e88aa,N/A
78,apache/commons-bcel.git,24014e5eabb321adf276f90599bddedb018e88aa,N/A
79,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
80,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
81,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
82,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
83,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
84,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
85,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
86,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
87,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
88,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
89,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
90,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
91,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
92,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
93,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
94,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
95,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
96,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
97,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
98,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
99,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
100,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
101,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
102,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
103,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
104,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
105,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
106,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
107,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
108,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
109,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
110,beckchr/staxon.git,58d107b8cc806642fee5c5b5cf78de4e25e4d8f5,N/A
111,bpsm/edn-java.git,c1d891d6437f89af3a9c2cbc3c4e002556aa71b4,N/A
112,bpsm/edn-java.git,c1d891d6437f89af3a9c2cbc3c4e002556aa71b4,N/A
113,bucchi/OAuth2.0ProviderForJava.git,db5e1d06ddb51fe63dd30f17a4f1118e433d6b15,N/A
114,bucchi/OAuth2.0ProviderForJava.git,db5e1d06ddb51fe63dd30f17a4f1118e433d6b15,N/A
115,bucchi/OAuth2.0ProviderForJava.git,db5e1d06ddb51fe63dd30f17a4f1118e433d6b15,N/A
116,bucchi/OAuth2.0ProviderForJava.git,db5e1d06ddb51fe63dd30f17a4f1118e433d6b15,N/A
117,bucchi/OAuth2.0ProviderForJava.git,db5e1d06ddb51fe63dd30f17a4f1118e433d6b15,N/A
118,codahale/og.git,693c81154749c27dccb074073a0f0212fe5b481c,N/A
119,codahale/og.git,693c81154749c27dccb074073a0f0212fe5b481c,N/A
120,codahale/og.git,693c81154749c27dccb074073a0f0212fe5b481c,N/A
121,codahale/og.git,693c81154749c27dccb074073a0f0212fe5b481c,N/A
122,codahale/og.git,693c81154749c27dccb074073a0f0212fe5b481c,N/A
123,codahale/og.git,693c81154749c27dccb074073a0f0212fe5b481c,N/A
124,codahale/og.git,693c81154749c27dccb074073a0f0212fe5b481c,N/A
125,codahale/og.git,693c81154749c27dccb074073a0f0212fe5b481c,N/A
126,codahale/og.git,693c81154749c27dccb074073a0f0212fe5b481c,N/A
127,codahale/og.git,693c81154749c27dccb074073a0f0212fe5b481c,N/A
128,codahale/og.git,693c81154749c27dccb074073a0f0212fe5b481c,N/A
129,codahale/og.git,693c81154749c27dccb074073a0f0212fe5b481c,N/A
130,codahale/og.git,693c81154749c27dccb074073a0f0212fe5b481c,N/A
131,code4craft/jsoup-learning.git,2c0580fdd895cabedeb5eee14241bf511270dc61,N/A
132,code4craft/jsoup-learning.git,2c0580fdd895cabedeb5eee14241bf511270dc61,N/A
133,code4craft/jsoup-learning.git,2c0580fdd895cabedeb5eee14241bf511270dc61,N/A
134,codedance/silken.git,381532036e886220a7e9e2c5f47b9573fb5dd493,N/A
135,google/compile-testing.git,db256e040bdc1dab480a9687f45efb30169ce9a0,N/A
136,google/compile-testing.git,db256e040bdc1dab480a9687f45efb30169ce9a0,N/A
137,google/compile-testing.git,db256e040bdc1dab480a9687f45efb30169ce9a0,N/A
138,google/compile-testing.git,db256e040bdc1dab480a9687f45efb30169ce9a0,N/A
139,google/compile-testing.git,db256e040bdc1dab480a9687f45efb30169ce9a0,N/A
140,google/compile-testing.git,db256e040bdc1dab480a9687f45efb30169ce9a0,N/A
141,google/compile-testing.git,db256e040bdc1dab480a9687f45efb30169ce9a0,N/A
142,google/compile-testing.git,db256e040bdc1dab480a9687f45efb30169ce9a0,N/A
143,google/compile-testing.git,db256e040bdc1dab480a9687f45efb30169ce9a0,N/A
144,google/compile-testing.git,db256e040bdc1dab480a9687f45efb30169ce9a0,N/A
145,google/compile-testing.git,db256e040bdc1dab480a9687f45efb30169ce9a0,N/A
146,google/compile-testing.git,db256e040bdc1dab480a9687f45efb30169ce9a0,N/A
147,google/compile-testing.git,db256e040bdc1dab480a9687f45efb30169ce9a0,N/A
148,osiam/connector4java.git,e90425192ca7b77c24f3568ec06a8ac824c83d81,N/A
149,osiam/connector4java.git,e90425192ca7b77c24f3568ec06a8ac824c83d81,N/A
150,cybergarage/CyberLink4Java.git,9499b03f9cae05c04fce74e65af2730c11682d74,N/A
